tradeId,trade_type,trade_currency,opened_date,closed_date,price_1,price_2,price_1_in_euros,price_2_in_euros,quantity_1,quantity_2,purchase_price,sales_price,purchase_price_in_euros,sales_price_in_euros,profit_loss_in_original_currency,profit_loss_in_euros,profit_loss_in_euros_calculated
0008e1cf-0001-54c4-0000-0000801200e1,LONG,USD,2022-03-09 14:59:55,2022-03-09 17:21:03,1.89,1.88,1.7192759028472664,1.7101792049486035,-10.0,10.0,18.8,18.9,17.1,17.19,0.1,0.09,0.09
00001344-0001-54c4-0000-000080162c3c,LONG,USD,2022-02-24 16:32:02,2022-03-02 20:00:37,118.56,110.0,106.20800859983875,98.53981904505956,-10.0,10.0,1100.0,1185.6,985.4,1062.08,85.6,76.94,76.68
0018314c-0001-54c4-0000-000080291ec9,LONG,USD,2022-01-11 14:32:07,2022-01-11 15:56:12,5.09,5.0,4.490119971771348,4.4107268877911086,-5.0,5.0,25.0,25.45,22.05,22.45,0.45,0.4,0.4
000d23dd-0001-54c4-0000-0000801adffc,LONG,USD,2021-12-04 12:13:23,2021-12-06 21:54:50,0.58,0.55,0.5136834647064032,0.4871136303250377,-50.0,50.0,27.5,29.0,24.36,25.68,1.5,0.91,1.32
0018314c-0001-54c4-0000-000080242399,LONG,USD,2021-11-17 18:40:13,2021-11-17 19:18:57,10.31,10.3,9.110993283845882,9.102156238953695,-90.0,90.0,927.0,927.9,819.19,819.99,0.9,0.8,0.8
00513301-0001-54c4-0000-0000802839d2,LONG,USD,2021-11-11 14:34:22,2021-11-17 15:42:51,1101.18,1086.05,960.8900523560211,947.6876090750436,-0.6,0.6,651.63,660.71,568.61,576.53,9.08,8.03,7.92
0018314c-0001-54c4-0000-0000802421c0,LONG,USD,2021-11-17 14:26:17,2021-11-17 14:31:03,10.33,10.31,9.12866737363026,9.110993283845882,-130.0,130.0,1340.3,1342.9,1184.43,1186.73,2.6,2.3,2.3
0018314c-0001-54c4-0000-000080241ef8,LONG,USD,2021-11-16 14:49:24,2021-11-16 17:34:32,10.35,10.26,9.104503870513723,9.02533427163969,-130.0,130.0,1333.8,1345.5,1173.29,1183.59,11.7,10.33,10.3
0018314c-0001-54c4-0000-000080241e8c,LONG,USD,2021-11-16 14:29:29,2021-11-16 14:31:32,10.56,10.55,9.289232934553132,9.280436312456017,-120.0,120.0,1266.0,1267.2,1113.65,1114.71,1.2,1.06,1.06
0018314c-0001-54c4-0000-000080241d40,LONG,USD,2021-11-15 19:51:29,2021-11-16 10:41:50,10.77,10.76,9.411045089129674,9.402306885704299,-120.0,120.0,1291.2,1292.4,1128.28,1129.33,1.2,1.06,1.05
0018314c-0001-54c4-0000-000080241af2,LONG,USD,2021-11-15 14:45:49,2021-11-15 15:10:13,11.01,10.99,9.620761971338691,9.60328556448794,-100.0,100.0,1099.0,1101.0,960.33,962.08,2.0,1.75,1.75
0018314c-0001-54c4-0000-00008024197c,LONG,USD,2021-11-12 21:59:17,2021-11-15 12:21:12,11.27,11.2,9.8445143256464,9.783368273934311,-40.0,40.0,448.0,450.8,391.33,393.78,2.8,2.45,2.45
0018314c-0001-54c4-0000-000080241938,LONG,USD,2021-11-12 19:03:05,2021-11-12 19:31:48,11.01,10.97,9.617400419287211,9.582459818308875,-125.0,125.0,1371.25,1376.25,1197.81,1202.18,5.0,4.37,4.37
0001a04c-0000-5552-0000-000080120297,LONG,EUR,2021-11-08 08:22:15,2021-11-12 10:45:00,76.59,76.12,76.59,76.12,-10.0,10.0,761.2,765.9,761.2,765.9,4.7,4.7,4.7
0018314c-0001-54c4-0000-000080241257,LONG,USD,2021-11-10 19:45:10,2021-11-11 22:52:10,11.19,9.99,9.681605814154699,8.643363903789584,-10.0,10.0,99.9,111.9,86.43,96.82,12.0,10.48,10.39
0018314c-0001-54c4-0000-00008024134b,LONG,USD,2021-11-11 14:34:45,2021-11-11 22:52:10,11.19,10.41,9.764397905759163,9.083769633507854,-35.0,35.0,364.35,391.65,317.93,341.75,27.3,23.84,23.82
0018314c-0001-54c4-0000-0000802412cd,LONG,USD,2021-11-11 09:33:47,2021-11-11 11:44:15,10.5,10.49,9.162303664921467,9.153577661431065,-35.0,35.0,367.15,367.5,320.38,320.68,0.35,0.31,0.3
00513301-0001-54c4-0000-00008027e504,LONG,USD,2021-11-09 16:38:20,2021-11-11 10:20:53,1104.27,1070.0,953.8481471883908,924.2463505225879,-0.6,0.6,642.0,662.56,554.55,572.31,20.56,17.92,17.76
0018314c-0001-54c4-0000-000080240d49,LONG,USD,2021-11-09 14:36:07,2021-11-09 20:00:56,10.74,10.2,9.277014770665977,8.810572687224669,-10.0,10.0,102.0,107.4,88.11,92.77,5.4,4.66,4.66
0018314c-0001-54c4-0000-000080240dc6,LONG,USD,2021-11-09 14:56:33,2021-11-09 20:00:56,10.74,10.0,9.277014770665977,8.637816360024186,-10.0,10.0,100.0,107.4,86.38,92.77,7.4,6.38,6.39
0004405d-0001-54c4-0000-00008024a64a,LONG,USD,2021-09-25 21:17:27,2021-11-09 08:47:34,2.29,2.33,1.9540916460448845,1.9882242512159742,-300.0,300.0,699.0,687.0,596.47,586.23,-12.0,-10.389999999999999,-10.24
0018314c-0001-54c4-0000-0000802402c1,LONG,USD,2021-11-08 12:00:36,2021-11-08 16:20:53,10.53,9.31,9.094049572501943,8.04041799810001,-40.0,40.0,372.4,421.2,321.62,363.76,48.8,42.11,42.14
